Skill,Level
Ranked Damage Dealing skills:,
Fan of knives,9
Rupture tendons,4
Corrupted blade,9
Wind-up toy,16
Sleeping arms,9
Throwing knife,1
Ranked Setup skills:,
Adrenaline,1
Skin graft,9
Backlash,1
Cloak and dagger,4
Chameleon cloak,1
Haste (pre-fight buff self),1
Smoke cover,1
Nether swap,9
Teleport,4
Chloroform,1
Stomp,1
Ram,1
Bless,4
Chicken claw,1
Ranked Survival skills:,
Challenge,16
Bone cage,9
Restoration,1
Armor of frost,1
Uncanny evasion,4
Mosquito swarm,1
Equalize,16
Heart of steel,4
Fortify,1
