Skill,Level
Ranked Fighting Skills:,
Challenge,16
Corpse explosion,1
Decaying touch,1
Infect,4
Mosquito swarm,1
Raise bloated corpse,1
Dimensional bolt,1
Corrupted blade,9
Restoration,1
Healing ritual,9
Bone cage,9
Armor of frost,1
Uncanny evasion,4
Supercharger,4
Soul mate,4
Shackles of pain,4
Blood sucker,1
Chameleon cloak,1
Vampiric hunger,1
Fortify,1
Ranked CC skills:,
Raise bone widow,9
Stomp,1
Ram,1
Teleport,4
Elemental totem,1
Nether swap,9
Chloroform,1
Medusa head,9
Ranked Utility skills:,
Phoenix dive,9
Cloak and dagger,4
First aid,1
Adrenaline,1
Haste (pre-fight buff self),1
