Skill,Level
Ranked CC and Damage skills:,
Pyroclastic eruption,16
Dust blast,9
Fossil strike,1
Throw dust,1
Poison wave,9
Poison dart,1
Earthquake,9
Impalement,4
Contamination,1
Corrosive touch,1
Ranked Tank skills:,
Deflective barrier,9
Summon inner demon,13
Fortify,1
Mend metal,4
Heart of steel,4
Rain,1
Turn to oil,1
Oily carapace,1
Bone cage,9
Ranked Utility skills:,
Haste (pre-fight buff self),1
Adrenaline,1
Armor of frost,1
Skin graft,9
Tactical retreat (or other jump skill),4
Chameleon cloak,1
Mass oily carapace,9
Uncanny evasion,4
Worm tremor,4
