Skill,Level
Ranked Summoning skills:,
Summon incarnate,1
Dominate mind,9
Warp infusion,16
Shadow infusion,9
Farsight infusion,1
Power infusion,4
Elemental totem,1
Summon bone widow,9
Ranked Tank skills:,
Deflective barrier,9
Fortify,1
Armor of frost,1
Uncanny evasion,4
Living on the edge,9
Bone cage,9
Heart of steel,4
Rain,1
Turn oil,1
Oily carapace,1
Global cooling,9
Cryotherapy,1
Restoration,1
Ranked Utility skills:,
Teleport,4
Adrenaline,1
Haste (pre-fight buff self),1
Nether swap,9
Tactical retreat (or other jump skill),4
Chicken claw,1
Chameleon cloak,1
