Skill,Level
Ranked Shielding skills:,
Guardian angel,16
Fortify,1
Armor of frost,1
Uncanny evasion,4
Living on the edge,9
Smoke cover,1
Bless,4
Cryogenic stasis,9
Nether swap,9
Evasive aura,9
Ranked CC skills:,
Worm tremor,4
Dominate mind,9
Teleport,4
Summon incarnate (remove if unlocked bone widow),1
Summon bone widow,9
Summon elemental totem,1
Impalement,4
Chicken claw,1
Ram (or stomp),1
Chloroform,1
Fossil strike,1
Earthquake,9
Ranked Tank skills:,
Summon inner demon,13
Bone cage,9
Heart of steel,4
Ranked Utility skills:,
Adrenaline,1
Skin graft,9
Haste (pre-fight buff self),1
Tactical retreat (or any jump),4
Chameleon cloak,1
First aid,1
Favorable wind,1
Soul mate,9
