Skill,Level
Ranked CC and Damage skills:,
Ice breaker,16
Deep freeze,16
Winter blast,4
Ice Fan,4
Hail strike,1
Global cooling,9
Ranked Healing skills:,
Cryogenic stasis,9
Healing ritual,9
Restoration,1
Healing tears,1
Cleanse wounds,1
Soothing cold,4
Cryotherapy,1
Vampiric hunger,1
Ranked Utility skills:,
Haste (pre-fight buff self),1
Rain,1
Adrenaline,1
Armor of frost,1
Tactical retreat (or other jump skill),4
Chameleon cloak,1
Raining blood,1
Fortify,1
Uncanny evasion,4
Heart of steel,4
